feature,shap_importance,compartment,feature_type
Cells_RadialDistribution_MeanFrac_AGP_4of4,0.0036146088580634177,Cells,RadialDistribution
Cells_RadialDistribution_MeanFrac_mito_tubeness_5of16,0.0036052068498767247,Cells,RadialDistribution
Cytoplasm_Intensity_MinIntensity_ER,0.0035983582649454808,Cytoplasm,Intensity
Cytoplasm_Intensity_LowerQuartileIntensity_RNA,0.0035793962644986876,Cytoplasm,Intensity
Cells_RadialDistribution_FracAtD_Mito_1of4,0.003577662947105377,Cells,RadialDistribution
Cells_Correlation_K_Mito_RNA,0.0035736400963859135,Cells,Correlation
Cells_Texture_Correlation_AGP_10_03_256,0.003565337854504053,Cells,Texture
Nuclei_Granularity_13_AGP,0.0035650295067482926,Nuclei,Granularity
Nuclei_Texture_InfoMeas1_AGP_3_02_256,0.0035641739246992593,Nuclei,Texture
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_18of20,0.003553637872256721,Cytoplasm,RadialDistribution
Cells_RadialDistribution_FracAtD_AGP_1of4,0.0035487178902414078,Cells,RadialDistribution
Cells_Granularity_16_Mito,0.003513978004983593,Cells,Granularity
Cells_RadialDistribution_FracAtD_mito_tubeness_4of20,0.0035001405420916855,Cells,RadialDistribution
Cytoplasm_Intensity_MinIntensityEdge_ER,0.0034958252179473803,Cytoplasm,Intensity
Cells_Texture_InfoMeas1_ER_10_02_256,0.003495504656457342,Cells,Texture
Cytoplasm_Intensity_MedianIntensity_AGP,0.0034941111298186505,Cytoplasm,Intensity
Nuclei_Correlation_K_Mito_RNA,0.0034815769089904538,Nuclei,Correlation
Cells_RadialDistribution_RadialCV_mito_tubeness_13of20,0.003480834874332816,Cells,RadialDistribution
Cells_AreaShape_Zernike_8_6,0.0034764010335909135,Cells,AreaShape
Nuclei_Correlation_RWC_Mito_RNA,0.003446687586620101,Nuclei,Correlation
Cytoplasm_Intensity_MeanIntensity_AGP,0.003440404829244861,Cytoplasm,Intensity
Cytoplasm_RadialDistribution_RadialCV_ER_2of4,0.003435006784119261,Cytoplasm,RadialDistribution
Cytoplasm_Granularity_10_AGP,0.003433937293593772,Cytoplasm,Granularity
Cells_RadialDistribution_FracAtD_RNA_1of4,0.003419627775354976,Cells,RadialDistribution
Cells_Correlation_K_Mito_ER,0.0034187596842197568,Cells,Correlation
Cells_Texture_InfoMeas1_RNA_3_01_256,0.0034180984739837837,Cells,Texture
Cells_Granularity_9_RNA,0.003400611866987414,Cells,Granularity
Cytoplasm_Texture_Correlation_AGP_10_03_256,0.003393566879123812,Cytoplasm,Texture
Cytoplasm_Intensity_MeanIntensityEdge_AGP,0.0033912571491756744,Cytoplasm,Intensity
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_12of20,0.003388694359008306,Cytoplasm,RadialDistribution
Cells_Texture_Entropy_DNA_3_00_256,0.003386505492463974,Cells,Texture
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_15of20,0.0033843760063090094,Cytoplasm,RadialDistribution
Cells_Intensity_LowerQuartileIntensity_RNA,0.0033821322692425123,Cells,Intensity
Cells_RadialDistribution_RadialCV_mito_tubeness_16of20,0.003378646885310965,Cells,RadialDistribution
Cytoplasm_Correlation_K_AGP_RNA,0.003374301753979775,Cytoplasm,Correlation
Cytoplasm_Correlation_Correlation_AGP_Mito,0.0033536319387660893,Cytoplasm,Correlation
Cytoplasm_AreaShape_Compactness,0.003348546448271788,Cytoplasm,AreaShape
Cytoplasm_Granularity_11_Mito,0.003347756447817249,Cytoplasm,Granularity
Nuclei_AreaShape_Zernike_4_0,0.0033281796482125562,Nuclei,AreaShape
Nuclei_Texture_Correlation_AGP_5_02_256,0.003324982094179307,Nuclei,Texture
Cytoplasm_Texture_InfoMeas1_Mito_5_03_256,0.003316294728678518,Cytoplasm,Texture
Cytoplasm_Correlation_K_Mito_RNA,0.0033143573367955727,Cytoplasm,Correlation
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_16of20,0.003307933726183754,Cytoplasm,RadialDistribution
Cells_Granularity_3_ER,0.003301810844724449,Cells,Granularity
Cytoplasm_Granularity_13_DNA,0.003300926893072236,Cytoplasm,Granularity
Nuclei_AreaShape_Orientation,0.003299518030528686,Nuclei,AreaShape
Nuclei_Intensity_MinIntensityEdge_ER,0.0032938797297434315,Nuclei,Intensity
Cells_RadialDistribution_MeanFrac_mito_tubeness_12of16,0.0032915741357179024,Cells,RadialDistribution
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_12of16,0.0032903674347367737,Cytoplasm,RadialDistribution
Cytoplasm_Texture_Contrast_DNA_3_00_256,0.003282555088470482,Cytoplasm,Texture
Cells_AreaShape_Zernike_8_4,0.0032816069868048152,Cells,AreaShape
Nuclei_RadialDistribution_FracAtD_DNA_4of4,0.0032808841424048297,Nuclei,RadialDistribution
Nuclei_Texture_InfoMeas1_ER_3_03_256,0.003276444222574355,Nuclei,Texture
Cells_Texture_Correlation_DNA_10_02_256,0.003275382401854066,Cells,Texture
Cells_RadialDistribution_RadialCV_AGP_2of4,0.0032749289401856783,Cells,RadialDistribution
Cytoplasm_Granularity_7_ER,0.0032728313399794776,Cytoplasm,Granularity
Cytoplasm_Granularity_10_DNA,0.003272207739247993,Cytoplasm,Granularity
Nuclei_Texture_InfoMeas1_AGP_3_03_256,0.0032618159882882277,Nuclei,Texture
Cytoplasm_Intensity_MeanIntensityEdge_ER,0.0032610325998133965,Cytoplasm,Intensity
Cytoplasm_AreaShape_Zernike_2_2,0.003258530759651746,Cytoplasm,AreaShape
Cells_Correlation_K_RNA_Mito,0.0032567386508994137,Cells,Correlation
Cytoplasm_Texture_InfoMeas1_Mito_10_01_256,0.0032565751898878913,Cytoplasm,Texture
Cells_Granularity_10_Mito,0.003256443213514493,Cells,Granularity
Nuclei_Texture_Correlation_AGP_5_00_256,0.003254839811187204,Nuclei,Texture
Cells_Granularity_13_DNA,0.0032540877708067584,Cells,Granularity
Cells_Intensity_MaxIntensityEdge_RNA,0.0032406674806510897,Cells,Intensity
Cells_Texture_Entropy_DNA_10_03_256,0.0032384797218089393,Cells,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_19of20,0.003234847855505255,Cells,RadialDistribution
Cells_AreaShape_Zernike_7_1,0.003217517835572445,Cells,AreaShape
Cytoplasm_Correlation_RWC_DNA_RNA,0.0032049224112701527,Cytoplasm,Correlation
Cells_RadialDistribution_FracAtD_mito_tubeness_13of16,0.0032036170769892385,Cells,RadialDistribution
Cytoplasm_Granularity_10_ER,0.0032018817094766356,Cytoplasm,Granularity
Cells_Texture_Correlation_AGP_5_00_256,0.003193693186575339,Cells,Texture
Cells_Intensity_LowerQuartileIntensity_AGP,0.0031914704999923874,Cells,Intensity
Nuclei_Granularity_10_AGP,0.003182440097339817,Nuclei,Granularity
Cytoplasm_Texture_InfoMeas1_Mito_5_00_256,0.0031812470290190375,Cytoplasm,Texture
Cells_Intensity_StdIntensityEdge_ER,0.0031725366100311347,Cells,Intensity
Cytoplasm_AreaShape_Zernike_7_1,0.0031560549748246556,Cytoplasm,AreaShape
Cells_RadialDistribution_MeanFrac_mito_tubeness_15of20,0.003155337833907522,Cells,RadialDistribution
Nuclei_ObjectSkeleton_NumberNonTrunkBranches_mito_skel,0.003154436296629553,Nuclei,ObjectSkeleton
Nuclei_Texture_Correlation_RNA_10_03_256,0.0031496111296915584,Nuclei,Texture
Cells_Texture_Entropy_DNA_5_00_256,0.0031488690677347873,Cells,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_16of20,0.0031484470695743636,Cells,RadialDistribution
Cells_Granularity_8_Mito,0.0031483450759333207,Cells,Granularity
Cells_AreaShape_Compactness,0.003140097736594011,Cells,AreaShape
Cells_Texture_Entropy_DNA_3_02_256,0.0031394088150825286,Cells,Texture
Nuclei_Texture_InfoMeas2_AGP_3_02_256,0.003138975812346741,Nuclei,Texture
Nuclei_Texture_InfoMeas2_Mito_5_01_256,0.003126439379835314,Nuclei,Texture
Cells_Granularity_10_DNA,0.0031255701501296633,Cells,Granularity
Nuclei_Texture_Correlation_Mito_10_02_256,0.003117400691740581,Nuclei,Texture
Nuclei_Texture_InverseDifferenceMoment_Mito_10_02_256,0.003116207768013867,Nuclei,Texture
