feature,shap_importance,compartment,feature_type
Cells_Correlation_K_ER_Mito,0.0027065755641654376,Cells,Correlation
Nuclei_Correlation_Correlation_AGP_DNA,0.0026951704417505036,Nuclei,Correlation
Nuclei_Texture_Contrast_Mito_5_02_256,0.0026701986039773017,Nuclei,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_13of20,0.00266999255085206,Cells,RadialDistribution
Cytoplasm_AreaShape_Solidity,0.0026682364064358156,Cytoplasm,AreaShape
Nuclei_Texture_SumVariance_Mito_3_02_256,0.0026651506326301646,Nuclei,Texture
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_17of20,0.002663865641162764,Cytoplasm,RadialDistribution
Cells_RadialDistribution_MeanFrac_mito_tubeness_1of20,0.002663218026708429,Cells,RadialDistribution
Cytoplasm_AreaShape_Zernike_8_8,0.0026616178855329055,Cytoplasm,AreaShape
Cells_RadialDistribution_RadialCV_mito_tubeness_14of20,0.002660642671689857,Cells,RadialDistribution
Cytoplasm_RadialDistribution_MeanFrac_mito_tubeness_18of20,0.0026601359184964426,Cytoplasm,RadialDistribution
Cytoplasm_RadialDistribution_RadialCV_mito_tubeness_14of16,0.0026594267244633685,Cytoplasm,RadialDistribution
Cytoplasm_Texture_InfoMeas2_AGP_3_03_256,0.0026584076031862685,Cytoplasm,Texture
Cells_RadialDistribution_FracAtD_mito_tubeness_1of20,0.0026519036944331934,Cells,RadialDistribution
Cytoplasm_Granularity_5_ER,0.0026408235562640973,Cytoplasm,Granularity
Cells_RadialDistribution_RadialCV_mito_tubeness_15of16,0.0026387176371749123,Cells,RadialDistribution
Cytoplasm_Correlation_K_RNA_Mito,0.0026373795651930517,Cytoplasm,Correlation
Cells_AreaShape_Zernike_7_5,0.0026241955165252355,Cells,AreaShape
Nuclei_Granularity_3_Mito,0.0026239185435172527,Nuclei,Granularity
Cells_Correlation_K_Mito_RNA,0.0026198542720313914,Cells,Correlation
