drug_name,pathway,shap_morpho_total,shap_morgan_total,morpho_pct
PD0325901,ERK MAPK signaling,0.0007699652334788536,5.684461699322248e-05,93.12482586404039
CCT007093,Cell cycle,0.000991154682768078,0.00010469034085592785,90.4466107342704
Avagacestat,Other,0.0008022244892074979,0.00010452466491282511,88.47259306084172
Crizotinib,RTK signaling,0.0012412118000511994,4.5389919704627406e-05,96.47210795635797
BI-2536,Cell cycle,0.0030256335814306955,0.00016719660418727626,94.76337310576649
Irinotecan,DNA replication,0.0011955090102417083,9.843498017470843e-05,92.39263979710357
BMS-536924,IGF1R signaling,0.0013073866320131677,7.422293616902217e-05,94.62779225923582
Niraparib,Genome integrity,0.0006010884340089022,6.169197797061248e-05,90.691943084685
Gemcitabine,DNA replication,0.002814051987502882,6.912121115237521e-05,97.60259941426294
Tamoxifen,Hormone-related,0.0005637371522849527,9.415468953885466e-05,85.68842421303795
Fulvestrant,Hormone-related,0.0007295143892850666,8.306965102693013e-05,89.77710034828705
EPZ004777,Chromatin histone methylation,0.0008609990903817233,0.0001431077103742481,85.74776007228462
Daporinad,Metabolism,0.003046569482721217,0.0001415519147047635,95.56002118303746
AZ960,"Other, kinases",0.0012936585127896038,5.059272620063426e-05,96.2363638036415
AZD2014,PI3K/MTOR signaling,0.0013504165570080513,6.252134981803116e-05,95.57508157180987
AZD1208,"Other, kinases",0.0007324212345717255,9.39205884049805e-05,88.63417222830944
SN-38,DNA replication,0.0023370720668957796,6.138111974786278e-05,97.44080392772815
Ruxolitinib,"Other, kinases",0.0014188872879415644,0.00016187445538257302,89.75971830883432
Pevonedistat,Other,0.0019731318949113763,4.9371755577539777e-05,97.55887928481096
Uprosertib,PI3K/MTOR signaling,0.0006673777752453387,5.936637782583381e-05,91.83118604051296
LCL161,Apoptosis regulation,0.0010857799547591585,0.00010219377643072569,91.39764005317124
Alpelisib,PI3K/MTOR signaling,0.0006237822173680119,8.232141213115971e-05,88.34145461204483
EPZ5676,Chromatin histone methylation,0.0011607704793061932,0.0001489336194533124,88.62845282423902
SCH772984,ERK MAPK signaling,0.001208992614575479,4.194681276446224e-05,96.64677506778567
SGC-CBP30,Chromatin histone acetylation,0.0006947107515472259,6.73078534416888e-05,91.16716402971973
GSK-LSD1,Chromatin histone methylation,0.0010901751216419201,9.144303172531451e-05,92.26120287127182
AZD5582,Apoptosis regulation,0.0011233854742601706,7.320319818414269e-05,93.88234237295528
PFI3,Chromatin other,0.0008587712215937096,0.00015260514059590546,84.91114225118751
I-BET-762,Chromatin other,0.0007051771285457583,6.915961651650197e-05,91.06853485159854
OTX015,Chromatin other,0.0010674133440263713,7.070920190907121e-05,93.78720664469799
PRT062607,"Other, kinases",0.0010693294446370092,7.53646733798281e-05,93.41617361410086
AZD4547,RTK signaling,0.0006382487639808337,0.00010251701092901973,86.16067124031271
Ibrutinib,"Other, kinases",0.0008473770003819686,8.105960471122432e-05,91.26923644904244
Topotecan,DNA replication,0.002301618940806707,6.859650843122375e-05,97.10589564955882
Teniposide,DNA replication,0.0010304274738396242,6.883076195951065e-05,93.73843563614766
Bleomycin,DNA replication,0.000929243265114061,9.960996218326575e-05,90.31835061207622
Fludarabine,DNA replication,0.0011144816499919928,0.0001272278123388474,89.75381792613344
Nelarabine,DNA replication,0.0009521994067885112,0.00020326701222548108,82.40822849711745
